x1             y1             x2             y2             v1x            v1y            v2x            v2y            v3x            v3y            v4x            v4y            v5x            v5y            v6x            v6y            p2x            p2y            
2.61345        -6.49384       10.1612        -14.6247       2.42833        1.7616         -2.42833       -1.7616        4.61808        -11.4749       15.0877        -10.0717       10.8477        -21.2977       5.2347         -19.1777       9.47473        -7.9517        
2.83683        -6.3994        10.2481        -14.308        2.36584        1.84466        -2.36584       -1.84466       5.01281        -11.308        15.2974        -9.89153       10.7517        -20.9973       5.19886        -18.7244       9.7445         -7.61871       
3.02477        -6.31275       10.3211        -14.0261       2.31028        1.9138         -2.31028       -1.9138        5.34491        -11.1549       15.4667        -9.72233       10.6767        -20.7249       5.17543        -18.3298       9.96546        -7.32731       
3.17928        -6.23636       10.3822        -13.7837       2.26246        1.9701         -2.26246       -1.9701        5.61794        -11.0199       15.6017        -9.56986       10.6215        -20.4876       5.16259        -17.9975       10.1429        -7.07973       
3.30206        -6.17223       10.4328        -13.5841       2.22303        2.01448        -2.22303       -2.01448       5.83488        -10.9066       15.7069        -9.43873       10.5847        -20.2906       5.15879        -17.7295       10.2809        -6.87765       
3.39443        -6.12192       10.4742        -13.43         2.19251        2.04766        -2.19251       -2.04766       5.99811        -10.8177       15.7856        -9.33254       10.5653        -20.1376       5.16284        -17.5274       10.3831        -6.72239       
3.45741        -6.08657       10.5071        -13.3229       2.17127        2.07017        -2.17127       -2.07017       6.1094         -10.7552       15.8404        -9.25395       10.5623        -20.0309       5.17386        -17.3918       10.4519        -6.61491       
3.49167        -6.06698       10.532         -13.2639       2.15956        2.08238        -2.15956       -2.08238       6.16994        -10.7206       15.8727        -9.20476       10.5749        -19.972        5.1913         -17.3231       10.4891        -6.55587       
3.49756        -6.06359       10.5491        -13.2537       2.15754        2.08447        -2.15754       -2.08447       6.18034        -10.7146       15.8833        -9.18594       10.6028        -19.9617       5.21492        -17.3214       10.4954        -6.54569       
3.47509        -6.07649       10.5585        -13.2921       2.16524        2.07647        -2.16524       -2.07647       6.14064        -10.7374       15.8722        -9.19768       10.6458        -19.9998       5.24476        -17.3866       10.4711        -6.5845        
3.42395        -6.10545       10.5598        -13.3788       2.1826         2.05822        -2.1826        -2.05822       6.05028        -10.7886       15.8385        -9.23934       10.7042        -20.0855       5.28113        -17.5183       10.4155        -6.67217       
3.34351        -6.14987       10.5527        -13.5127       2.20943        2.02939        -2.20943       -2.02939       5.90814        -10.8671       15.7808        -9.30949       10.7785        -20.2171       5.32466        -17.716        10.327         -6.80832       
3.23278        -6.20879       10.5364        -13.6922       2.24544        1.98948        -2.24544       -1.98948       5.71247        -10.9712       15.6965        -9.40581       10.8694        -20.3921       5.37626        -17.9786       10.2033        -6.99227       
